timestamp,where_is_the_closest_major_city_or_hub,biotech_sub_industry,company_or_institution_name,company_details_publicprivatestartup_subsidiary_of,company_detail_approximate_company_size,role_title_of_current_position,highest_achieved_formal_education,years_of_experience,compensation_annual_base_salarypay,compensation_annual_target_bonus,compensation_annual_equity,compensation_sign_on_bonus_value,sign_on_relocation_assistance_total_value,what_country_do_you_work_in,compensation_overtime_pay,company_review,briefly_describe_your_position,list_other_relevant_and_recognized_certifications,compensation_retirement_benefits,compensation_healthcare_benefits,compensation_stock_options,compensation_most_recent_annual_yearly_raise,compensation_options,have_you_one_a_postdoc
2022-06-13 23:36:31.649000,Boston,Pharmaceutical (including “big pharma”),,Public,1000-5000,Scientist,PhD or Equivalent,3.0,104000.0,Not Applicable/None,Not Applicable/None,,,,,,,,,,,,,
2022-06-14 17:48:40.386000,Boston,Pharmaceutical (including “big pharma”),,Start-up,1-50,Principal Research Associate,Masters or Equivalent,3.0,100000.0,3000.0,Not Applicable/None,5000.0,,,,,,,,,,,,
2022-06-14 20:49:10.002000,Ireland,Pharmaceutical (including “big pharma”),BioMarin,Public,1000-5000,Biotechnician,Bachelors or Equivalent,3.0,53000.0,Between 10-14%,Not Applicable/None,,,,,,,,,,,,,
2022-06-16 03:11:38.264000,San Diego,Medical Devices,,Public,5000+,Senior Product Support Engineer,Masters or Equivalent,12.0,108000.0,5000.0,Not Applicable/None,,,,,,,,,,,,,
2022-06-16 17:13:08.192000,"Remote, TX, US",Pharmaceutical (including “big pharma”),Ergomed,Public,1000-5000,Project Manager,Masters or Equivalent,7.0,150000.0,Not Applicable/None,Not Applicable/None,,,,,,,,,,,,,
2022-06-17 03:23:02.982000,Seattle,Pharmaceutical (including “big pharma”),,Public,1000-5000,Director,PhD or Equivalent,11.0,200000.0,50000.0,25000.0,45000.0,50000.0,,,,,,,,,,,
2022-06-18 08:48:04.824000,Boston,Pharmaceutical (including “big pharma”),Alnylam,Private,1000-5000,Associate Scientist II,Bachelors or Equivalent,1.0,78000.0,7800.0,Not Applicable/None,10000.0,,,,,,,,,,,,
2022-06-18 17:18:05.273000,Boston,Pharmaceutical (including “big pharma”),,Start-up,1-50,Sr. Director,PhD or Equivalent,15.0,250000.0,50000.0,Not Applicable/None,50000.0,,,,,,,,,,,,
2022-06-18 22:46:38.634000,Boston,Pharmaceutical (including “big pharma”),,Start-up,50-200,Research Associate I,Bachelors or Equivalent,0.0,70000.0,7000.0,Not Applicable/None,,,,,,,,,,,,,
2022-06-20 15:41:41.782000,Bay Area,Pharmaceutical (including “big pharma”),VIR,Public,200-1000,Scientist I,PhD or Equivalent,0.0,130000.0,16250.0,5750.0,,40000.0,,,,,,,,,,,
2022-06-21 16:29:28.913000,"Remote, HQ in San Diego",synthetic biology,,Public,200-1000,Field Application Scientist,Masters or Equivalent,7.0,110000.0,27750.0,stock options,0.0,,,,,,,,,,,,
2022-06-21 20:37:51.237000,Chicago,Medical Devices,,Private,200-1000,Biomedical Engineer 1,Bachelors or Equivalent,3.0,70000.0,Not Applicable/None,Not Applicable/None,,,,,,,,,,,,,
2022-06-21 21:18:17.407000,Boston,Medical Devices,Qiagen,Public,5000+,Lab Technician,Bachelors or Equivalent,1.0,43680.0,Not Applicable/None,Not Applicable/None,0.0,0.0,,,,,,,,,,,
2022-06-21 23:10:52.892000,Boston/Cambridge,Pharmaceutical (including “big pharma”),,Start-up,50-200,Research Associate I ,Bachelors or Equivalent,2.0,77000.0,3850.0,Not Applicable/None,,,,,,,,,,,,,
2022-06-23 22:16:47.270000,Bay Area,Pharmaceutical (including “big pharma”),,Private,200-1000,Scientist,Bachelors or Equivalent,17.0,133000.0,20000.0,5000.0,,,,,,,,,,,,,
2022-06-24 19:55:28.941000,New Jersey,Pharmaceutical (including “big pharma”),,Start-up,1-50,Director,Bachelors or Equivalent,7.0,180000.0,Not Applicable/None,Not Applicable/None,,,,,,,,,,,,,
2022-06-25 07:04:10.494000,Boston,Pharmaceutical (including “big pharma”),Verve therapeutics,Public,50-200,Senior research associate,Masters or Equivalent,2.0,88000.0,11000.0,16000.0,0.0,,,,,,,,,,,,
2022-06-25 19:18:47.721000,Bay Area,Pharmaceutical (including “big pharma”),,Start-up,1-50,Scientist,PhD or Equivalent,0.0,115000.0,Not Applicable/None,Not Applicable/None,10000.0,,,,,,,,,,,,
2022-06-25 21:15:52.404000,DC,Academia/Research,NCBI which is under NLM-NIH-HHS,Public,200-1000,Data Engineer ,Bachelors or Equivalent,0.0,100000.0,Not Applicable/None,Not Applicable/None,0.0,0.0,,,,,,,,,,,
2022-06-25 23:23:46.758000,San Diego,Medical Devices,,Start-up,1-50,Postdoctoral Scientist,PhD or Equivalent,5.0,75000.0,Not Applicable/None,7500.0,,1500.0,,,,,,,,,,,
2022-06-26 08:25:32.255000,U.k.,Pharmaceutical (including “big pharma”),Mogrify,Private,50-200,Scientist ,PhD or Equivalent,5.0,41200.0,Not Applicable/None,Not Applicable/None,,,,,,,,,,,,,
2022-06-26 11:48:35.730000,New York,Pharmaceutical (including “big pharma”),Cellectis,Public,200-1000,Research Associate I,Bachelors or Equivalent,1.0,75000.0,0.1,Not Applicable/None,,,,,,,,,,,,,
2022-06-27 09:34:01.083000,UK,Academia/Research,University of Oxford,Academia/College/Universities,5000+,Research Assistant,Masters or Equivalent,2.0,31400.0,Not Applicable/None,Not Applicable/None,,,,,,,,,,,,,
2022-06-28 07:53:43.014000,Boston ,Academia/Research,,Subsidiary,200-1000,Scientist II ,PhD or Equivalent,0.0,120000.0,0.15,Not Applicable/None,10000.0,10000.0,,,,,,,,,,,
2022-06-28 12:31:08.906000,Boston ,Pharmaceutical (including “big pharma”),,Public,5000+,Principal Scientist ,PhD or Equivalent,15.0,170000.0,Not Applicable/None,10000.0,10000.0,,,,,,,,,,,,
2022-06-28 13:39:30.730000,Boston,Pharmaceutical (including “big pharma”),Vertex,Private,1000-5000,Research Associate,Bachelors or Equivalent,0.0,83200.0,Not Applicable/None,Not Applicable/None,0.0,0.0,,,,,,,,,,,
2022-06-28 21:58:29.292000,RTP,Pharmaceutical (including “big pharma”),,Public,50-200,Research Associate,Bachelors or Equivalent,6.0,110000.0,11000.0,10000.0,0.0,0.0,,,,,,,,,,,
2022-06-29 22:52:39.409000,NY ,Pharmaceutical (including “big pharma”),,Public,5000+,Data analyst (senior manager indep contributor) ,Masters or Equivalent,8.0,150000.0,27000.0,17000.0,5000.0,,,,,,,,,,,,
2022-06-30 22:28:55.258000,Bay Area,Energy,Sandia National Laboratories,Government,1000-5000,Intern,High School or Equivalent,1.0,72800.0,Not Applicable/None,Not Applicable/None,0.0,0.0,,,,,,,,,,,
2022-07-01 15:42:41.708000,San Diego,Medical Devices,,Public,,Scientist,PhD or Equivalent,0.0,110000.0,Not Applicable/None,10000.0,,5000.0,,,,,,,,,,,
2022-07-01 19:03:20.306000,Boston,Pharmaceutical (including “big pharma”),Deciphera ,Public,200-1000,Clinical Trial Associate ,Bachelors or Equivalent,3.0,100000.0,10000.0,8000.0,,,,,,,,,,,,,
2022-07-01 23:00:01.195000,Bay Area,Medical Devices,,Public,1000-5000,Manager,PhD or Equivalent,5.0,180000.0,15000.0,80000.0,15000.0,,,,,,,,,,,,
2022-07-02 01:02:42.135000,Seattle,Pharmaceutical (including “big pharma”),,Subsidiary,200-1000,Quality assurance,Bachelors or Equivalent,3.0,60500.0,7000.0,Not Applicable/None,,,,,,,,,,,,,
2022-07-04 08:41:19.198000,Boston,Pharmaceutical (including “big pharma”),,Public,5000+,Sr director ,Bachelors or Equivalent,10.0,300000.0,100000.0,100000.0,,,,,,,,,,,,,
2022-07-04 12:27:22.516000,San Diego,Pharmaceutical (including “big pharma”),,Private,5000+,Senior Principal Scientist,PhD or Equivalent,11.0,184000.0,0.2,0.15,,,,,,,,,,,,,
2022-07-06 12:45:35.206000,"Houston, TX",Pharmaceutical (including “big pharma”),Lonza,Public,200-1000,Research Associate,Bachelors or Equivalent,4.0,78000.0,5000.0,Not Applicable/None,,,,,,,,,,,,,
2022-07-06 22:48:25.633000,Bay Area,Pharmaceutical (including “big pharma”),,Public,50-200,Sr. Scientist,Bachelors or Equivalent,6.0,117000.0,11700.0,Not Applicable/None,,,,,,,,,,,,,
2022-07-08 14:01:53.129000,Los Angeles,Pharmaceutical (including “big pharma”),,Private,200-1000,Quality Assurance Specialist II,Bachelors or Equivalent,11.0,91734.0,9173.0,Not Applicable/None,,,,,,,,,,,,,
2022-07-08 17:24:28.316000,Bay Area,Pharmaceutical (including “big pharma”),,Public,50-200,Research Associate II,Masters or Equivalent,3.0,77000.0,3850.0,Not Applicable/None,,,,,,,,,,,,,
2022-07-09 02:26:20.902000,San Diego ,Academia/Research,,Start-up,1-50,Scientist I,PhD or Equivalent,2.0,120000.0,20000.0,Not Applicable/None,5000.0,,,,,,,,,,,,
2022-07-09 19:10:33.428000,"Durham, NC",Pharmaceutical (including “big pharma”),Merck,Public,5000+,Quality Specialist II,Bachelors or Equivalent,4.0,80000.0,Not Applicable/None,Not Applicable/None,,,,,,,,,,,,,
2022-07-09 19:11:12.304000,RTP,Pharmaceutical (including “big pharma”),Biogen,Public,1000-5000,Quality Associate II,Bachelors or Equivalent,4.0,61000.0,Not Applicable/None,Not Applicable/None,,,,,,,,,,,,,
2022-07-10 17:02:19.842000,"Philadelphia, PA",Pharmaceutical (including “big pharma”),,Private,5000+,Sr. Engineer,Bachelors or Equivalent,10.0,115000.0,15000.0,Not Applicable/None,,25000.0,,,,,,,,,,,
2022-07-10 19:15:57.593000,Canada,Pharmaceutical (including “big pharma”),,Private,1000-5000,Business development manager,Masters or Equivalent,8.0,120000.0,Not Applicable/None,Not Applicable/None,,,,,,,,,,,,,
2022-07-10 19:25:05.521000,Los Angeles,Pharmaceutical (including “big pharma”),Amgen,Public,5000+,Scientist,PhD or Equivalent,3.0,125000.0,18000.0,10000.0,,,,,,,,,,,,,
2022-07-11 21:53:08.415000,Bay Area,Medical Devices,,Private,1-50,Research Associate 1,Bachelors or Equivalent,3.0,80000.0,Not Applicable/None,Not Applicable/None,,,,,,,,,,,,,
2022-07-12 22:27:26.445000,"Raleigh, NC",Pharmaceutical (including “big pharma”),BioAgilytix ,Private,1000-5000,Accessioning Supervisor,High School or Equivalent,8.0,90000.0,13500.0,Not Applicable/None,,,,,,,,,,,,,
2022-07-13 01:20:37.605000,"Boulder, CO",Pharmaceutical (including “big pharma”),,Public,50-200,Associate Director,PhD or Equivalent,14.0,185000.0,28000.0,Not Applicable/None,,,,,,,,,,,,,
2022-07-14 22:11:47.721000,San Diego,Pharmaceutical (including “big pharma”),Ionis,Public,200-1000,Senior Scientist,PhD or Equivalent,5.0,121000.0,15000.0,10000.0,7500.0,,,,,,,,,,,,
2022-07-14 23:26:46.201000,Boston,Pharmaceutical (including “big pharma”),Bristol Myers Squibb,Private,5000+,"Specialist, Assistant Manufacturing Engineer",Bachelors or Equivalent,1.0,83230.0,2469.0,Not Applicable/None,,,,,,,,,,,,,
2022-07-15 00:06:28.371000,Seattle,Cell therapy,,Public,1000-5000,Manager Quality Assurance,Masters or Equivalent,20.0,122000.0,14000.0,15000.0,25000.0,45000.0,,,,,,,,,,,
2022-07-15 14:19:15.255000,Los Angeles,Pharmaceutical (including “big pharma”),,Subsidiary,1000-5000,QA Specialist I,Bachelors or Equivalent,4.0,95000.0,7000.0,Not Applicable/None,8000.0,20000.0,,,,,,,,,,,
2022-07-15 18:45:35.751000,Boston,Pharmaceutical (including “big pharma”),,Private,50-200,St. Scientist ,PhD or Equivalent,4.0,145000.0,0.15,Not Applicable/None,,,,,,,,,,,,,
2022-07-16 01:33:47.338000,San Francisco ca,Pharmaceutical (including “big pharma”),,Start-up,50-200,Facilities technician,Associate’s Degree or Equivalent,1.0,70000.0,Not Applicable/None,Not Applicable/None,,,,,,,,,,,,,
2022-07-16 01:34:01.716000,San Francisco ca,Pharmaceutical (including “big pharma”),,Start-up,50-200,Facilities technician,Associate’s Degree or Equivalent,1.0,70000.0,Not Applicable/None,Not Applicable/None,,,,,,,,,,,,,
2022-07-18 17:09:21.447000,Dundee,Pharmaceutical (including “big pharma”),,Private,1-50,Senior Scientist,PhD or Equivalent,3.0,45000.0,Not Applicable/None,Not Applicable/None,,,,,,,,,,,,,
2022-07-18 17:33:49.262000,Bay area,Academia/Research,,Public,50-200,Senior research associate,Masters or Equivalent,6.0,94000.0,6000.0,Not Applicable/None,,,,,,,,,,,,,
2022-07-18 21:00:39.820000,Indianapolis,Pharmaceutical (including “big pharma”),Eli Lilly and Company,Public,5000+,Principal Scientist,Masters or Equivalent,5.0,95000.0,10000.0,Not Applicable/None,,,,,,,,,,,,,
2022-07-18 21:13:46.111000,"Houston, TX",Pharmaceutical (including “big pharma”),,Public,200-1000,Associates Principal Scientist,PhD or Equivalent,6.0,130000.0,15000.0,Not Applicable/None,,,,,,,,,,,,,
2022-07-18 21:18:46.925000,Boston ,Pharmaceutical (including “big pharma”),,Public,200-1000,Scientist II ,PhD or Equivalent,7.0,130000.0,0.15,Not Applicable/None,,,,,,,,,,,,,
2022-07-18 21:42:40.464000,"Seattle, WA",Pharmaceutical (including “big pharma”),Just - Evotec,Subsidiary,50-200,Process Engineer 1,Bachelors or Equivalent,0.0,70000.0,3500.0,Not Applicable/None,,7500.0,,,,,,,,,,,
2022-07-18 23:15:05.659000,New Jersey,Medical Devices,,Public,1000-5000,Sr. Scientist,PhD or Equivalent,4.0,110000.0,10000.0,?,,,,,,,,,,,,,
2022-07-19 08:07:59.365000,Austria,Pharmaceutical (including “big pharma”),,Start-up,1-50,Scientist,Masters or Equivalent,4.0,59000.0,Not Applicable/None,Not Applicable/None,,,,,,,,,,,,,
2022-07-19 11:01:32.148000,Boston,Medical Devices,,Start-up,50-200,Research Associate II,Bachelors or Equivalent,1.0,65000.0,Not Applicable/None,Not Applicable/None,1000.0,0.0,,,,,,,,,,,
2022-07-19 13:11:00.093000,"Austin, TX",Pharmaceutical (including “big pharma”),Xbiotech ,Public,50-200,QC Analyst,Bachelors or Equivalent,2.0,51000.0,Not Applicable/None,Not Applicable/None,,,,,,,,,,,,,
2022-07-19 15:44:04.266000,"RTP, North Carolina",Pharmaceutical (including “big pharma”),BioAgilytix,Private,1000-5000,Analyst II,Masters or Equivalent,1.0,62400.0,0.1,Not Applicable/None,,,,,,,,,,,,,
2022-07-19 22:43:58.039000,Boston ,Pharmaceutical (including “big pharma”),,Start-up,1-50,Director ,PhD or Equivalent,15.0,210000.0,42000.0,Not Applicable/None,,,,,,,,,,,,,
2022-07-19 23:39:31.274000,Boston,Pharmaceutical (including “big pharma”),,Public,200-1000,Scientist II ,PhD or Equivalent,0.0,125000.0,0.15,Not Applicable/None,20000.0,10000.0,,,,,,,,,,,
2022-07-20 15:38:04.549000,Maryland,Pharmaceutical (including “big pharma”),,Public,50-200,Associate Principal Scientist,PhD or Equivalent,10.0,135000.0,0.2,10000.0,,10000.0,,,,,,,,,,,
2022-07-21 19:47:38.730000,New York City,Pharmaceutical (including “big pharma”),Preclinical startup - CNS & rare disease,Public,1-50,"Senior Director, Corporate Communications ",Bachelors or Equivalent,14.0,235000.0,50000.0,Not Applicable/None,20000.0,,,,,,,,,,,,
2022-07-22 19:24:13.996000,Bay Area,Pharmaceutical (including “big pharma”),,Public,50-200,Research Associate II,Bachelors or Equivalent,2.0,85000.0,8.5k,Not Applicable/None,7500.0,,,,,,,,,,,,
2022-07-23 19:54:30.339000,"Cambridge, MA",Pharmaceutical (including “big pharma”),,Private,50-200,Associate Scientist,Bachelors or Equivalent,6.0,101000.0,12620.0,Not Applicable/None,0.0,0.0,,,,,,,,,,,
2022-07-25 16:33:27,Boston,Pharmaceutical (including “big pharma”),,Private,50-200,Senior Research Associate,Bachelors or Equivalent,3.0,85000.0,8500.0,Not Applicable/None,,,,,,,,,,,,,
2022-07-26 22:11:13.619000,"Research Triangle, NC",Pharmaceutical (including “big pharma”),Xilis,Start-up,50-200,Lab Technologist,Masters or Equivalent,0.0,46400.0,Not Applicable/None,1000.0,,,,,,,,,,,,,
2022-08-08 15:22:23.493000,Boston,diagnostics,,Public,1000-5000,research associate,Bachelors or Equivalent,4.0,73000.0,0.07,Not Applicable/None,,,,,,,,,,,,,
2022-08-08 16:43:48.999000,San Diego,Pharmaceutical (including “big pharma”),,Public,200-1000,Associate Director,PhD or Equivalent,15.0,185000.0,41625.0,20000.0,,,,,,,,,,,,,
2022-08-08 18:56:16.902000,Boston,Pharmaceutical (including “big pharma”),,Private,50-200,Research Associate I,Bachelors or Equivalent,0.0,65000.0,0.05,Not Applicable/None,5000.0,,,,,,,,,,,,
2022-08-08 20:00:57.795000,Remote,Pharmaceutical (including “big pharma”),,Private,50-200,Validation Engineering Manager,Bachelors or Equivalent,4.0,110000.0,Not Applicable/None,Not Applicable/None,0.0,0.0,,,,,,,,,,,
2022-08-08 21:02:39.105000,Boston,Pharmaceutical (including “big pharma”),,Start-up,1000-5000,Process engineer II,Bachelors or Equivalent,5.0,99750.0,Not Applicable/None,Not Applicable/None,,,,,,,,,,,,,
2022-08-09 03:04:46.279000,"Vancouver, Canada",Pharmaceutical (including “big pharma”),,Public,50-200,Research Associate II,Bachelors or Equivalent,3.0,87000.0,9000.0,Not Applicable/None,,,,,,,,,,,,,
2022-08-10 14:31:17.271000,New Jersey,Pharmaceutical (including “big pharma”),Bristol Myer Squibb,Public,5000+,Manufacturing Associate,Bachelors or Equivalent,0.0,70000.0,Not Applicable/None,Not Applicable/None,,,,,,,,,,,,,
2022-08-11 18:43:04.611000,South San Francisco,Biotech,,Public,50-200,Research Associate I,Bachelors or Equivalent,0.0,80000.0,Not Applicable/None,Not Applicable/None,,,,,,,,,,,,,
2022-08-12 08:13:28.263000,Boston,Pharmaceutical (including “big pharma”),,Private,5000+,Manufacturing Supervisor,Masters or Equivalent,5.0,10000.0,8000.0,Not Applicable/None,0.0,0.0,,,,,,,,,,,
2022-08-13 10:14:09.894000,"Boston, US",Pharmaceutical (including “big pharma”),,Private,1-50,Clinical Research Project Lead,Bachelors or Equivalent,2.0,90000.0,Not Applicable/None,Not Applicable/None,,,,,,,,,,,,,
2022-09-10 15:53:39.200000,Boston,Pharmaceutical (including “big pharma”),,Public,200-1000,"Associate Director, Process Development",PhD or Equivalent,7.0,185000.0,35000.0,10000.0,35000.0,0.0,,,,,,,,,,,
2022-09-13 22:17:39.269000,"Philadelphia, PA",Pharmaceutical (including “big pharma”),,Public,5000+,Associate Director,PhD or Equivalent,7.0,157000.0,28260.0,28260.0,40000.0,10000.0,,,,,,,,,,,
2022-09-14 02:01:25.675000,Bay Area,Pharmaceutical (including “big pharma”),,Private,1-50,Scientist,PhD or Equivalent,0.0,130000.0,Not Applicable/None,6000.0,,,,,,,,,,,,,
2022-09-15 03:07:09.225000,Switzerland,Pharmaceutical (including “big pharma”),,Public,5000+,Associate Director,Masters or Equivalent,9.0,180000.0,50000.0,16000.0,5000.0,,,,,,,,,,,,
2022-09-15 09:11:18.349000,Boston,Academia/Research,,Academia/College/Universities,5000+,Postdoc,PhD or Equivalent,1.0,54000.0,Not Applicable/None,Not Applicable/None,,2500.0,,,,,,,,,,,
2022-09-15 11:02:15.253000,Greater Boston,Pharmaceutical (including “big pharma”),,Public,1-50,Principal Scientist,PhD or Equivalent,4.0,160000.0,24000.0,10000.0,0.0,0.0,,,,,,,,,,,
2022-09-15 20:41:23.268000,Boston,Pharmaceutical (including “big pharma”),,Private,200-1000,Program Manager ,PhD or Equivalent,3.0,140000.0,Not Applicable/None,Not Applicable/None,,,,,,,,,,,,,
2022-09-16 03:48:52.260000,"Irvine, CA",Biotech,Zymo Research,Private,50-200,Research Associate I,Bachelors or Equivalent,0.0,62400.0,Not Applicable/None,Not Applicable/None,,,,,,,,,,,,,
2022-09-16 08:23:16.936000,"Kansas City, Missouri, United States",Pharmaceutical (including “big pharma”),Catalent ,Public,5000+,Senior Associate Scientist,Bachelors or Equivalent,2.0,64500.0,Not Applicable/None,Not Applicable/None,,,,,,,,,,,,,
2022-09-16 09:15:45.742000,Seattle,Pharmaceutical (including “big pharma”),,Subsidiary,50-200,Senior Research Associate ,Masters or Equivalent,5.0,85000.0,10000.0,Not Applicable/None,10000.0,,,,,,,,,,,,
2022-09-16 10:22:25.155000,Boston,Academia/Research,,Start-up,50-200,Senior Scientist ,PhD or Equivalent,8.0,154000.0,25000.0,Not Applicable/None,,,,,,,,,,,,,
2022-09-16 10:59:10.967000,Boston,Pharmaceutical (including “big pharma”),,Public,50-200,Sr. Scientist,PhD or Equivalent,5.0,150000.0,0.15,Not Applicable/None,10000.0,,,,,,,,,,,,
2022-09-16 12:46:15.061000,North Carolina,Medical Devices,,Private,1-50,Product Manager,PhD or Equivalent,4.0,110000.0,20000.0,Not Applicable/None,,,,,,,,,,,,,
2022-09-16 12:54:16.235000,Bay Area,Pharmaceutical (including “big pharma”),,Private,5000+,Sr. Scientist,PhD or Equivalent,5.0,185000.0,32000.0,30000.0,10000.0,,,,,,,,,,,,
2022-09-16 12:55:45.883000,Bay Area,Pharmaceutical (including “big pharma”),,Public,50-200,Principal Scientist,PhD or Equivalent,5.0,210000.0,40000.0,25000.0,12000.0,,,,,,,,,,,,
2022-09-16 12:57:27.295000,Boston,Pharmaceutical (including “big pharma”),,Private,1-50,Sr. Scientist,PhD or Equivalent,3.0,165000.0,Not Applicable/None,Not Applicable/None,,,,,,,,,,,,,
2022-09-16 12:58:35.214000,Bay Area,Pharmaceutical (including “big pharma”),,Private,1-50,Sr. Scientist,PhD or Equivalent,3.0,185000.0,Not Applicable/None,30000.0,10000.0,,,,,,,,,,,,
2022-09-16 12:59:27.265000,Bay Area,Pharmaceutical (including “big pharma”),,Public,1000-5000,Sr. Scientist,PhD or Equivalent,4.0,167000.0,Not Applicable/None,12000.0,2000.0,,,,,,,,,,,,
2022-09-16 16:28:59.509000,Boston,Pharmaceutical (including “big pharma”),,Public,5000+,Research Associate Ii,M.D./PharmD/D.D.S. or Equivalent,5.0,90000.0,9000.0,1500.0,,,,,,,,,,,,,
2022-09-16 17:32:16.990000,San Diego,Pharmaceutical (including “big pharma”),,Start-up,50-200,Director,PhD or Equivalent,17.0,200000.0,40000.0,5000.0,10000.0,,,,,,,,,,,,
2022-09-16 18:24:43.228000,Los Angeles,Pharmaceutical (including “big pharma”),,Subsidiary,1000-5000,QC Microbiology Tech,Bachelors or Equivalent,2.0,52000.0,Not Applicable/None,Not Applicable/None,8000.0,,,,,,,,,,,,
2022-09-16 18:53:14.288000,RTP,Pharmaceutical (including “big pharma”),,Private,200-1000,Scientist II,PhD or Equivalent,2.0,115000.0,11500.0,Not Applicable/None,,,,,,,,,,,,,
2022-09-16 19:28:37.522000,Boston,molecular bio,,Private,200-1000,Scientist I,Masters or Equivalent,0.0,70.0,14.0,Not Applicable/None,,,,,,,,,,,,,
2022-09-16 20:49:59.535000,Remote,Pharmaceutical (including “big pharma”),,Public,5000+,Sr. Scientist,Bachelors or Equivalent,5.0,112000.0,14560.0,Not Applicable/None,,,,,,,,,,,,,
2022-09-16 22:47:19.760000,Los Ángeles ,Pharmaceutical (including “big pharma”),ImmunityBio ,Public,200-1000,"Associate, Document Control ",Bachelors or Equivalent,3.0,67000.0,Not Applicable/None,Not Applicable/None,0.0,0.0,,,,,,,,,,,
2022-09-16 23:04:11.825000,"RTP, NC",Academia/Research,United Therapeatics ,Private,50-200,Bioprocess Technician,Bachelors or Equivalent,1.0,62500.0,12000.0,Not Applicable/None,,,,,,,,,,,,,
2022-09-16 23:14:03.771000,San Diego,Medical Devices,,Subsidiary,200-1000,Scientist III,PhD or Equivalent,8.0,123600.0,Not Applicable/None,Not Applicable/None,5000.0,,,,,,,,,,,,
2022-09-16 23:34:23.010000,San Diego,Pharmaceutical (including “big pharma”),,Public,200-1000,Sr. Scientist,PhD or Equivalent,6.0,135000.0,0.12,15000.0,,,,,,,,,,,,,
2022-09-16 23:42:12.003000,San Francisco CA,Pharmaceutical (including “big pharma”),,Start-up,1-50,Scientist II,PhD or Equivalent,2.0,124000.0,TBD,TBD,1500.0,0.0,,,,,,,,,,,
2022-09-17 01:43:26.527000,Bay Area,Pharmaceutical (including “big pharma”),,Start-up,1-50,Scientist I,Bachelors or Equivalent,8.0,147500.0,19000.0,Not Applicable/None,12000.0,,,,,,,,,,,,
2022-09-18 11:02:19.658000,Boston,Pharmaceutical (including “big pharma”),,Start-up,50-200,Principal scientist ,PhD or Equivalent,6.0,160000.0,0.15,Not Applicable/None,13000.0,,,,,,,,,,,,
2022-09-18 22:05:58.904000,Boston,Pharmaceutical (including “big pharma”),,Public,50-200,Director,PhD or Equivalent,14.0,220000.0,44000.0,15000.0,25000.0,,,,,,,,,,,,
2022-09-19 12:06:33.002000,Toronto ,Pharmaceutical (including “big pharma”),,Start-up,50-200,Bioinformatics Engineer,Masters or Equivalent,3.0,128000.0,10000.0,Not Applicable/None,,,,,,,,,,,,,
2022-09-19 16:47:14.495000,Bay Area,Pharmaceutical (including “big pharma”),,Public,200-1000,Field Application Scientist (FAS),PhD or Equivalent,1.0,110000.0,20000.0,7500.0,5000.0,,,,,,,,,,,,
2022-09-19 21:48:31.578000,NJ-Philadelphia,Pharmaceutical (including “big pharma”),,Public,1000-5000,Group Leader - Director ,PhD or Equivalent,18.0,225000.0,56000.0,40000.0,,10000.0,,,,,,,,,,,
2022-09-20 02:05:44.712000,Boston,Pharmaceutical (including “big pharma”),GlaxoSmithKline,Public,5000+,Computational Biologist,PhD or Equivalent,6.0,150000.0,18000.0,Not Applicable/None,10000.0,5000.0,,,,,,,,,,,
2022-09-20 02:09:14.976000,Seattle,Biotech ,,Public,50-200,Associate Director,Masters or Equivalent,20.0,210000.0,0.17,Not Applicable/None,,,,,,,,,,,,,
2022-09-25 01:56:07.722000,Central/North Jersey,Pharmaceutical (including “big pharma”),Bristol Myers Squibb,Public,5000+,"Associate Scientist, QC Flow Cytometry",Bachelors or Equivalent,1.0,80000.0,6400.0,7500.0,10000.0,0.0,,,,,,,,,,,
2022-09-29 21:16:24.499000,Boston,Pharmaceutical (including “big pharma”),Alloy,Start-up,50-200,Ops Associate,Masters or Equivalent,1.0,87500.0,Not Applicable/None,Not Applicable/None,,,,,,,,,,,,,
2022-09-30 00:01:25.639000,Bay Area,Pharmaceutical (including “big pharma”),,Public,5000+,Scientist,PhD or Equivalent,0.0,160000.0,24000.0,24000.0,60000.0,120000.0,,,,,,,,,,,
2022-09-30 00:13:21.097000,Bay Area,Agriculture/Food,,Private,50-200,Research Associate ,Masters or Equivalent,2.0,72000.0,Not Applicable/None,60000.0,,,,,,,,,,,,,
2022-10-01 16:15:41.252000,Boston,Academia/Research,BIDMC,Academia/College/Universities,1-50,RA II,Bachelors or Equivalent,1.0,36000.0,Not Applicable/None,Not Applicable/None,,,,,,,,,,,,,
2022-10-01 17:30:41.173000,St. Louis,Pharmaceutical (including “big pharma”),,Private,5000+,Project Manager,Bachelors or Equivalent,3.0,70000.0,5% target ,Not Applicable/None,,,,,,,,,,,,,
2022-10-01 17:34:16.580000,Boston,Pharmaceutical (including “big pharma”),,Public,5000+,External Manufacturing Senior Manager,Masters or Equivalent,9.0,160000.0,30000.0,35000.0,0.0,0.0,,,,,,,,,,,
2022-10-01 17:48:41.321000,"Portland, OR",Synbio,Amyris,Public,1000-5000,Software Engineer II,Bachelors or Equivalent,5.0,120000.0,Not Applicable/None,10000.0,12000.0,,,,,,,,,,,,
2022-10-01 18:23:28.495000,Bay Area,Biotech,,Start-up,50-200,Scientist II,PhD or Equivalent,1.0,124000.0,Not Applicable/None,Not Applicable/None,,2500.0,,,,,,,,,,,
